,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,1991,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,1991,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,1991,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,1991,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,1991,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,1991,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,Central Division
7,46,26,.639,—,120.1,114.2,5.57,1991,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,1991,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,1991,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,1991,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,1991,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1991,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,1991,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,1991,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,1991,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,1991,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,1991,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1991,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,1991,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,1991,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,1991,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,1991,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,1991,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1991,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,1991,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,1991,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,1991,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,1991,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,1991,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1991,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,1991,Dallas Mavericks*
